route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10,6,1886,"LONG BRANCH",1,"8249",933
10,1,1887,"LONG BRANCH",1,"7201",934
10,1,1888,"LONG BRANCH",1,"7205",935
10,2,1889,"LONG BRANCH",1,"7217",936
10,2,1890,"LONG BRANCH",1,"7221",937
10,2,1891,"LONG BRANCH",1,"7225",938
10,2,1892,"LONG BRANCH",1,"7269",939
10,2,1893,"LONG BRANCH",1,"7273",940
10,2,1894,"LONG BRANCH",1,"7277",941
10,2,1895,"LONG BRANCH",1,"7281",942
10,2,1896,"LONG BRANCH",1,"7285",943
10,4,1897,"LONG BRANCH",1,"3263",944
10,4,1898,"MATAWAN",1,"3441",945
10,4,1899,"LONG BRANCH",1,"3261",946
10,4,1900,"LONG BRANCH",1,"3273",947
10,4,1901,"LONG BRANCH",1,"3275",948
10,4,1902,"MATAWAN",1,"3405",949
10,4,1903,"SOUTH AMBOY",1,"3509",950
10,4,1904,"SOUTH AMBOY",1,"3511",951
10,4,1905,"SOUTH AMBOY",1,"3513",952
10,4,1906,"SOUTH AMBOY",1,"3515",953
10,4,1907,"LONG BRANCH",1,"3279",954
10,4,1908,"LONG BRANCH",1,"3283",955
10,3,1909,"LONG BRANCH",1,"3201",956
10,3,1910,"LONG BRANCH",1,"3205",957
10,4,1911,"LONG BRANCH",1,"3227",958
10,4,1912,"LONG BRANCH",1,"3209",959
10,4,1913,"LONG BRANCH",1,"3217",960
10,4,1914,"LONG BRANCH",1,"3223",961
10,4,1915,"LONG BRANCH",1,"3289",962
10,4,1916,"LONG BRANCH",1,"3297",963
10,4,1917,"LONG BRANCH",1,"3215",964
10,4,1918,"LONG BRANCH",1,"3221",965
10,4,1919,"LONG BRANCH",1,"3271",966
10,4,1920,"LONG BRANCH",1,"3281",967
10,4,1921,"LONG BRANCH",1,"3285",968
10,4,1922,"LONG BRANCH",1,"3293",969
10,4,1923,"SOUTH AMBOY",1,"3507",970
10,4,1924,"SOUTH AMBOY",1,"3505",971
10,4,1925,"SOUTH AMBOY",1,"3503",972
10,24,1926,"LONG BRANCH",1,"3235",973
10,25,1927,"LONG BRANCH",1,"3235",974
10,20,1928,"LONG BRANCH",1,"3267",975
10,20,1929,"LONG BRANCH",1,"3255",976
10,20,1930,"LONG BRANCH",1,"3269",977
10,20,1931,"LONG BRANCH",1,"3247",978
10,20,1932,"LONG BRANCH",1,"3251",979
10,20,1933,"LONG BRANCH",1,"3231",980
10,20,1934,"LONG BRANCH",1,"3239",981
10,20,1935,"LONG BRANCH",1,"3243",982
10,26,1936,"LONG BRANCH",1,"3235",983
10,21,1937,"LONG BRANCH",1,"7229",984
10,21,1938,"LONG BRANCH",1,"7233",985
10,21,1939,"LONG BRANCH",1,"7237",986
10,21,1940,"LONG BRANCH",1,"7241",987
10,21,1941,"LONG BRANCH",1,"7245",988
10,21,1942,"LONG BRANCH",1,"7249",989
10,21,1943,"LONG BRANCH",1,"7253",990
10,21,1944,"LONG BRANCH",1,"7257",991
10,21,1945,"LONG BRANCH",1,"7261",992
10,21,1946,"LONG BRANCH",1,"7265",993
10,22,1947,"LONG BRANCH",1,"7229",994
10,22,1948,"LONG BRANCH",1,"7233",995
10,22,1949,"LONG BRANCH",1,"7237",996
10,22,1950,"LONG BRANCH",1,"7241",997
10,22,1951,"LONG BRANCH",1,"7245",998
10,22,1952,"LONG BRANCH",1,"7249",999
10,22,1953,"LONG BRANCH",1,"7253",1000
10,22,1954,"LONG BRANCH",1,"7257",1001
10,22,1955,"LONG BRANCH",1,"7261",1002
10,22,1956,"LONG BRANCH",1,"7265",1003
10,27,1957,"LONG BRANCH",1,"3235",1004
10,23,1958,"LONG BRANCH",1,"3267",1005
10,23,1959,"LONG BRANCH",1,"3255",1006
10,23,1960,"LONG BRANCH",1,"3269",1007
10,23,1961,"LONG BRANCH",1,"3247",1008
10,23,1962,"LONG BRANCH",1,"3251",1009
10,23,1963,"LONG BRANCH",1,"3231",1010
10,23,1964,"LONG BRANCH",1,"3239",1011
10,23,1965,"LONG BRANCH",1,"3243",1012
11,2,1966,"LONG BRANCH",0,"4708",1013
11,2,1967,"LONG BRANCH",0,"4716",1014
11,2,1968,"LONG BRANCH",0,"4724",1015
11,2,1969,"LONG BRANCH",0,"4732",1016
11,2,1970,"LONG BRANCH",0,"4740",1017
11,2,1971,"LONG BRANCH",0,"4748",1018
11,2,1972,"LONG BRANCH",0,"4756",1019
11,2,1973,"LONG BRANCH",0,"4760",1020
11,2,1974,"LONG BRANCH",0,"4768",1021
11,2,1975,"LONG BRANCH",0,"4772",1022
11,2,1976,"LONG BRANCH",0,"4780",1023
11,4,1977,"LONG BRANCH",0,"4324",1024
11,4,1978,"LONG BRANCH",0,"4330",1025
11,4,1979,"LONG BRANCH",0,"4332",1026
11,4,1980,"LONG BRANCH",0,"4340",1027
11,4,1981,"LONG BRANCH",0,"4344",1028
11,4,1982,"LONG BRANCH",0,"4352",1029
11,4,1983,"LONG BRANCH",0,"4366",1030
11,4,1984,"LONG BRANCH",0,"4372",1031
11,4,1985,"LONG BRANCH",0,"4378",1032
11,4,1986,"LONG BRANCH",0,"4384",1033
11,4,1987,"LONG BRANCH",0,"4388",1034
11,4,1988,"LONG BRANCH",0,"4392",1035
11,4,1989,"LONG BRANCH",0,"4398",1036
11,4,1990,"HOBOKEN",0,"2302",1037
11,4,1991,"HOBOKEN",0,"2312",1038
11,4,1992,"HOBOKEN",0,"2308",1039
11,4,1993,"HOBOKEN",0,"2304",1040
11,4,1994,"HOBOKEN",0,"2300",1041
11,6,1995,"BAY HEAD",1,"8311",1042
11,6,1996,"BAY HEAD",1,"8301",1043
11,1,1997,"BAY HEAD",1,"4705",1044
11,2,1998,"BAY HEAD",1,"4721",1045
11,2,1999,"BAY HEAD",1,"4729",1046
11,2,2000,"BAY HEAD",1,"4737",1047
11,2,2001,"BAY HEAD",1,"4745",1048
11,2,2002,"BAY HEAD",1,"4753",1049
11,2,2003,"BAY HEAD",1,"4761",1050
11,2,2004,"BAY HEAD",1,"4765",1051
11,2,2005,"BAY HEAD",1,"4773",1052
11,2,2006,"BAY HEAD",1,"4777",1053
11,14,2007,"BAY HEAD",1,"4793",1054
11,14,2008,"BAY HEAD",1,"4797",1055
11,28,2009,"BAY HEAD",1,"4785",1056
11,15,2010,"BAY HEAD",1,"4393",1057
11,15,2011,"BAY HEAD",1,"4397",1058
11,29,2012,"BAY HEAD",1,"4385",1059
11,8,2013,"BAY HEAD",1,"2311",1060
11,3,2014,"BAY HEAD",1,"4305",1061
11,4,2015,"BAY HEAD",1,"4315",1062
11,4,2016,"BAY HEAD",1,"4321",1063
11,4,2017,"BAY HEAD",1,"4323",1064
11,4,2018,"BAY HEAD",1,"4331",1065
11,4,2019,"BAY HEAD",1,"4335",1066
11,4,2020,"BAY HEAD",1,"4343",1067
11,4,2021,"BAY HEAD",1,"4355",1068
11,4,2022,"BAY HEAD",1,"4367",1069
11,4,2023,"BAY HEAD",1,"4379",1070
11,4,2024,"BAY HEAD",1,"4383",1071
11,4,2025,"BAY HEAD",1,"4389",1072
11,4,2026,"BAY HEAD",1,"2313",1073
